Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
AHP,"Ashford Hospitality Prime, Inc.",9.65,308341972.4,n/a,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ahp
AHP^B,"Ashford Hospitality Prime, Inc.",20.58,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ahp^b
AHT,Ashford Hospitality Trust Inc,6.09,593350508.73,n/a,2003,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aht
AHT^A.CL,Ashford Hospitality Trust Inc,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aht^a.cl
AHT^D,Ashford Hospitality Trust Inc,25.53,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aht^d
AHT^F,Ashford Hospitality Trust Inc,25.14,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aht^f
AHT^G,Ashford Hospitality Trust Inc,25,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aht^g
ASH,Ashland Global Holdings Inc.,61.47,3835870364.52,n/a,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/ash
APB,"Asia Pacific Fund, Inc. (The)",13.47,139334649.84,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apb
GRR,"Asia Tigers Fund, Inc. (The)",12.1,41948074.3,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/grr
ASPN,"Aspen Aerogels, Inc.",4.16,98152870.4,n/a,2014,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/aspn
AHL,Aspen Insurance Holdings Limited,46.55,2785741691.25,n/a,2003,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ahl
AHL^C,Aspen Insurance Holdings Limited,28.45,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ahl^c
AHL^D,Aspen Insurance Holdings Limited,25.89,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ahl^d
ASB,Associated Banc-Corp,22.2,3359814311.4,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asb
ASB^C,Associated Banc-Corp,27,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asb^c
